,Country Name,country_code,Region,Indicator Name_x,1990_x,1991_x,1992_x,1993_x,1994_x,1995_x,1996_x,1997_x,1998_x,1999_x,2000_x,2001_x,2002_x,2003_x,2004_x,2005_x,2006_x,2007_x,2008_x,2009_x,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017_x,2018_x,2019_x,2019.1,Country Code,Indicator Name_y,Indicator Code,1990_y,1991_y,1992_y,1993_y,1994_y,1995_y,1996_y,1997_y,1998_y,1999_y,2000_y,2001_y,2002_y,2003_y,2004_y,2005_y,2006_y,2007_y,2008_y,2009_y,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,2017_y,2018_y,2019_y,2020,Unnamed: 65
0,Afghanistan,AFG,South Asia,CO2 emissions (metric tons per capita),0.191745115,0.167681579,0.095957742,0.08472111,0.075545827,0.068467956,0.062588034,0.056826618,0.052690856,0.040156965,0.036573704,0.03378536,0.045573659,0.051518377,0.041655394,0.060418781,0.066583291,0.065312346,0.128416559,0.171862421,0.243614036,0.29650624,0.259295334,0.18562366,0.146235617,0.172896741,0.149789334,0.131694556,0.1632953,0.159824372,0.159824372,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,8.83227781263571,1.41411798058979,11.2297148236429,5.35740325126351,13.8263195479763,3.92498382161573,21.3905283931066,14.3624414692681,0.426354784529209,12.7522870887171,5.60074465808154,2.72454336394854,1.45131466009755,2.26031420130452,2.64700320195786,1.18922812838034,3.911603419423,-1.9347782488959,
1,Angola,AGO,Sub-Saharan Africa,CO2 emissions (metric tons per capita),0.553661955,0.544538649,0.543557223,0.70898423,0.836804405,0.912141485,1.072168465,1.086636974,1.091825308,1.109859657,0.988077383,0.941828905,0.895577672,0.924869437,0.930262948,0.813539291,0.821840076,0.811753508,0.888658009,0.939403983,0.976184198,0.985522312,0.950695879,1.036293852,1.099779111,1.13504405,1.031811348,0.81330073,0.777674934,0.792137069,0.792137069,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.45009868360484,0.991359301460875,-5.83828073313141,-23.9834174420578,1.33936343647991,15.0000000288634,13.5443697551026,7.27427735460373,4.69114645093552,2.18148971840458,3.05462423430785,4.2059985561951,13.6656865230232,2.98985001039553,10.9528617687103,15.0289153175302,11.5476831781633,14.0100182426328,11.1661383303614,0.858712615098284,4.40393254343761,3.47197634454024,8.54218764265372,4.95454464636187,4.82262756838996,0.943571561325001,-2.58004964404932,-0.147212941085755,-2.00362972730201,-0.624644317706895,-4.04051000025351,
2,Albania,ALB,Europe & Central Asia,CO2 emissions (metric tons per capita),1.819541634,1.24281022,0.683699826,0.638307036,0.645355189,0.605436253,0.612367359,0.466921472,0.572153695,0.955359308,1.026213109,1.055495882,1.232378783,1.338984981,1.404058688,1.338209399,1.339995739,1.39393137,1.384311249,1.441493562,1.527623663,1.66942319,1.50324046,1.533630039,1.668337371,1.60377515,1.557664358,1.788786074,1.782738948,1.69224832,1.69224832,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-9.57564016948643,-28.002141656046,-7.18711091636951,9.55941169434753,8.30286659112861,13.3223333200803,9.09999944360231,-10.9199840851035,8.83008770869769,12.8898967331889,6.95003613422918,8.29007002725658,4.53996064044722,5.5300507779332,5.5099986931984,5.52991480926491,5.90008395738064,5.97998203625438,7.49996956029166,3.35006652793865,3.70689230100683,2.54532184477017,1.41752599216287,1.00198715014967,1.77448678495493,2.21875223166761,3.31480475341897,3.80219748796804,4.07130129479023,2.17369228814495,-3.31123944391327,
3,Andorra,AND,Europe & Central Asia,CO2 emissions (metric tons per capita),7.521831658,7.23537924,6.9630787,6.724177518,6.541578914,6.733479486,6.99159455,7.307441152,7.63953851,7.923191648,7.952286282,7.721549062,7.566239884,7.24241557,7.344262326,7.353780012,6.790542773,6.53104692,6.439303857,6.156687476,6.157197775,5.850886105,5.944654173,5.942800412,5.807127723,6.026181822,6.080600282,6.104133912,6.362975399,6.481217432,6.481217432,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.78138758962959,2.54600352306136,0.929214040125956,-1.03148438999895,2.3831822482118,2.75750161326249,4.64973866754707,9.06767205144135,3.19479339289236,4.0990789217793,3.52836236122388,8.11935772169949,4.54636221364653,8.69420371612468,8.13567633837351,5.39779598500422,4.80868869916921,1.55318814103222,-5.55918636850581,-5.30284654348291,-1.97495799965345,-0.0080697534113909,-4.97444371853503,-3.54759651549344,2.50446552114518,1.43414039522716,3.70967806978986,0.346071889630295,1.58876549046354,2.01554763848308,-11.9560584192697,
4,United Arab Emirates,ARE,Middle East & North Africa,CO2 emissions (metric tons per capita),30.19518857,31.77849624,29.08092584,29.27567777,30.84933296,31.12501806,30.92802588,30.48633262,29.66358052,28.88710798,27.03515911,29.43026994,28.50146173,27.96926982,27.03893822,25.38238104,22.93510429,21.37028576,22.01146924,19.83234887,19.03976975,18.50945738,19.20780112,20.05564757,20.05169797,21.07764197,21.48066861,20.76902233,18.39067806,19.32956328,19.32956328,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,18.3279855336405,0.860081945778219,3.3449448618412,1.26119095149724,6.89614855052668,6.68788646362944,5.79840406132159,8.1903986407705,0.291994348685435,2.90221364464598,10.8527042125986,1.3990850303263,2.43345681036156,8.80054081486432,9.56643663716162,4.85514119630905,9.83731977348489,3.1843901736724,3.19183627610384,-5.2429219066759,1.60280996068229,6.93027162943835,4.4846260849087,5.05334582526655,4.2843036857948,5.10593698394698,3.06096430837654,2.37353671042347,1.18985563831524,1.6777203729529,,
5,Argentina,ARG,Latin America & Caribbean,CO2 emissions (metric tons per capita),3.075541328,3.202031307,3.218973722,3.245795281,3.252945287,3.241341893,3.476953205,3.536989954,3.678793802,3.688518274,3.587392038,3.360371185,3.117424829,3.351723713,3.672973996,3.753639235,3.94249129,4.102629636,4.172388531,3.867569967,4.099689714,4.280989353,4.264223782,4.342115069,4.209095633,4.301913876,4.201845776,4.071308362,3.975771971,3.740650291,3.740650291,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.46721377637459,9.13311056620101,7.93729155643076,8.20697907221228,5.83620070368526,-2.84520961057079,5.52668982715234,8.1110467707457,3.85017885156228,-3.38545704063269,-0.78899893905691,-4.40883968258557,-10.8944848285903,8.83704079576924,9.02957330068152,8.85165992013437,8.04715150043027,9.00765087504757,4.05723310346406,-5.91852507634947,10.1253981561002,6.00395169280579,-1.0264204544321,2.40532378079436,-2.51261532081394,2.73115982828944,-2.08032784377811,2.81850297775918,-2.56535188247548,-2.08801486066213,-9.90523485573888,
6,Armenia,ARM,Europe & Central Asia,CO2 emissions (metric tons per capita),5.610254358,5.902576393,3.16600926,1.498612445,0.83443373,1.090960291,0.814339187,1.066043297,1.116225447,1.006791798,1.159761363,1.180062452,1.028353516,1.159732241,1.25303469,1.496010763,1.51776299,1.773161431,1.956930356,1.561583601,1.508351244,1.71734338,1.983192027,1.89812717,1.881607737,1.825292244,1.72675284,1.823560155,1.934451579,2.086060678,2.086060678,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-11.6999984830362,-41.8000027457562,-8.7999987932935,5.40000277917656,6.89999841973659,5.86540074943565,3.32107970046953,7.29999998770998,3.30000000058166,5.90000000312092,9.59999999927597,13.1999999979356,14.0000000015501,10.4999999988202,13.8999999991133,13.1999999994661,13.7000000015467,6.90000000042959,-14.1000000006998,2.2000000002151,4.69999999867412,7.20000000096486,3.3,3.60000000058993,3.19999999896625,0.199999999825991,7.50000000164144,5.19999999965324,7.59999999853918,-7.59999999999999,
7,Antigua and Barbuda,ATG,Latin America & Caribbean,CO2 emissions (metric tons per capita),3.358226856,3.472057826,4.49898385,3.800720617,3.720182735,3.931733458,3.98996808,4.04423557,4.370450293,4.419208828,4.341705369,4.532974149,4.980969957,5.169522468,4.978406237,5.033021488,5.319470442,5.474300638,5.621003692,16.02434762,5.56628433,6.050420408,7.74276315,5.136050692,5.185713244,5.236665308,5.289885738,5.239717055,5.296940139,5.354476455,5.354476455,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.01171468574839,2.17657860265928,1.15847519142061,5.27987870861712,6.67670710324244,-4.35958738239265,6.60445972082297,5.4716084820797,4.73112509163738,3.70761791039314,6.20343125361191,-4.54800347258279,1.02744196976423,6.07654368848398,5.7670286118037,6.47383131641992,12.7081485327737,9.31538316339753,-0.0143406519435985,-11.9626972488343,-7.84059474412172,-1.95861262834343,3.37286620031867,-0.600876396735046,3.79572761294251,3.82529309880827,5.49778845610642,3.1445986171704,6.9504165546896,3.3511608848481,-15.9735096410208,
8,Australia,AUS,East Asia & Pacific,CO2 emissions (metric tons per capita),15.44848844,15.31821338,15.34152615,15.45536877,15.69196304,16.05688358,16.42783027,16.62526327,17.5629309,17.6323576,17.7230721,17.80456395,17.9819247,17.72168373,18.17472687,18.14629201,18.14145349,18.52109701,18.30374802,18.22309955,17.59006927,17.29541584,17.02204223,16.44231571,15.83042152,15.863288,15.91465712,15.81831632,15.49352925,15.23826715,15.23826715,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.57099814702293,-0.397817699614905,0.41218470060933,4.02990646050326,3.98389015293171,3.837755292963,3.87858529337824,3.96653766174953,4.57668875918884,5.07359909510564,3.93313694470206,1.93085759225417,4.0014040616517,2.98593432165801,4.05545196750958,3.20426979287869,2.79453702446311,3.84423031556788,3.65795352556486,1.93699392030038,2.067417127684,2.46275631162725,3.91816287094112,2.58489770154893,2.5331146653882,2.19264742646037,2.7706521973025,2.30061062359425,2.94928577160958,2.16095629535999,-0.284839297785609,
9,Austria,AUT,Europe & Central Asia,CO2 emissions (metric tons per capita),7.58936421,8.049113779,7.353926794,7.311242503,7.343640808,7.697264741,8.154273323,8.059697484,8.107272237,7.888819322,7.929785513,8.444109161,8.583317475,9.168343908,9.2756141,9.26611356,8.961569195,8.587801761,8.49967402,7.721143982,8.365014901,8.135474381,7.723614487,7.753699576,7.260404228,7.317158873,7.288819983,7.486161583,7.133063919,7.293984252,7.293984252,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.34564139947821,3.44162777669459,2.09352461709183,0.526809203706492,2.40211907379886,2.66798353089548,2.34953385169727,2.09359938952392,3.58142581460447,3.55633124664169,3.37572214708479,1.26716818922992,1.65155392186669,0.941470920725337,2.73512022241023,2.24406532463878,3.45404183614122,3.72741530093519,1.4604236757386,-3.76457817791677,1.83709367680054,2.92279728368581,0.680445576816723,0.0255047121972183,0.661272848852605,1.01450158590511,1.98943716230463,2.39958760332166,2.58012073304926,1.41873427248989,-6.25903481882027,
